pH_RANGE,ORGANISM,UNIPROT,COMMENTARY,LITERATURE
4.5 - 7,Aspergillus fumigatus,-,"the enzyme retains
more than 80% of its
activity in pHs ranging
from 4.5 to 7.0",769929
4.5 - 7,Cellulosimicrobium sp.,B2BZ80,"more than 80% of
maximum activity",737466
4.5 - 7.5,Streptomyces lividans,-,"pH 4.5: about 75% of
maximal activity, pH
7.5: about 65% of
maximal activity",171608
4.5 - 8.5,Streptomyces sp.,D1FNQ6,"more than 60% of
maximum activity",746234
4.8 - 6.4,Trichoderma reesei,-,"approximately 90% of
the maximal (relative)
activity is gained in
the pH range 4.8-6.4
at 50°C in
citrate/phosphate
buffer",680210
4.8 - 8.4,Aspergillus nidulans,-,"pH 4.8: about 70% of
maximal activity, pH
8.4: about 60% of
maximal activity",171658
5 - 10,Cellulomonas flavigena,A1XM14,"pH 5-7: sodium
citrate-phosphate
buffer, pH 5-8:
phosphate buffer, pH
7-10: Tris-HCl buffer",697503
5 - 10,"Saccharopolyspora
pathumthaniensis",E1APH5,"activity range, profile,
overview",717401
5 - 11,"Bacillus sp. (in:
firmicutes)",-,activity range,717105
5 - 11,"Geobacillus
stearothermophilus",-,"pH 5.0: about 45% of
maximal activity, pH
8.0: about 55% of
maximal activity, pH
10.0: about 60% of
maximal activity, pH
11.0: about 45% of
maximal activity",171651
5 - 11,Paenibacillus sp.,B6VF01,activity range,717404
5 - 11,Streptomyces sp. T7,-,"the enzyme is active
between pH 5.0 and
11.0",774465
5 - 6,"Neocallimastix
patriciarum",A8TGA1,-,"
695791"
5 - 7,Bacillus licheniformis,B5SYI8,-,697502
5 - 7,Bacillus subtilis,-,"the enzyme is active
from pH 5.0-7.0, at
30°C",770731
5 - 7,"Duganella sp. PAMC
27433",-,"more than 60%
activity between pH
5.0 and 7.0",769515
5 - 7,Streptomyces lividans,-,"pH 5.0: about 45% of
maximal activity, pH
7.0: about 65% of
maximal activity",171606
5 - 7,Thermotoga maritima,A0A6M4EKY0,"highly active between
pH 5.0 and 7.0",770860
5 - 7.7,"Caldicellulosiruptor
saccharolyticus",-,"more than 50% of
maximal activity at pH
5.0 and at pH 7.0",171655
5 - 8,"Acidothermus
cellulolyticus",A0LR95,"more than 60%
activity between pH
5.0 and 8.0",750497
5 - 8,Bacillus licheniformis,-,-,682685
5 - 8,,-,"activity range, profile
overview",752334
5 - 8,"Bacillus sp. (in:
firmicutes)",-,broad pH profile,654996
5 - 8,Cladosporium sp.,A0A346PXS9,"pH 5.0: about 60% of
maximal activity, pH
8.0: about 35% of
maximal activity",750679
5 - 8,Dickeya chrysanthemi,-,-,655834
5 - 8,Massilia sp. RBM26,A0A0S2I9J6,"more than 90% of
maximum activity",738866
5 - 8,Niallia circulans,-,-,678008
5 - 8,"Thermoclostridium
stercorarium",-,"pH 5.0: about 80% of
maximal activity, pH
8.0: about 65% of
maximal activity",171661
5 - 8,uncultured bacterium,A0A127JBT0,"more than 80% of
maximum activity",744542
5 - 9,"Bacillus sp. (in:
firmicutes)",-,"pH 5.0: about 50% of
maximal activity, pH
9.0: about 60% of
maximal activity",171645
5 - 9,"Pseudopedobacter
saltans",F0S6Y3,"recombinant enzyme,
activity range, profile
overview",752084
5 - 9,Streptomyces ipomoeae,MK331807,"pH 5.0: about 50% of
maximal activity, pH
9.0: about 55% of
maximal activity",750086
5 - 9,Thermobifida fusca,Q56265,"more than 80% of
maximum activity
within this range",664701
5.3 - 10.6,"Bacillus sp. (in:
firmicutes)",-,"about 50% of maximal
activity at pH 5.3 and
at pH 10.6","
171656"
5.5 - 12,Paenibacillus sp. E18,-,"activity range, profile,
overview",707230
5.5 - 6.5,uncultured bacterium,-,"high activity in the pH
range 5.5-6.5",775836
5.5 - 7,uncultured bacterium,A0A3G9FT71,"pH 5.5: about 40% of
maximal activity, pH
7.0: about 70% of
maximal activity",750245
5.5 - 7.5,Streptomyces sp. TN119,C6FX34,"over 60% of maximal
activity within this
range, recombinant
enzyme",707196
5.5 - 8.5,Bacillus subtilis,B9ZZN9,"more than 50%
activity retained,
enzyme activity
decreases sharply
below pH 5.5 and
above pH 9.0,
negligible amount of
activity at pH below
5.0 and above 10.5",699055
5.5 - 9,Aspergillus flavus,B8NJ86,"over 50% of maximal
activity within this
range, profile overview",750988
5.5 - 9,"Thermomyces
lanuginosus",-,"more than 50% of
maximum activity",646829
5.5 - 9.5,"Thermomyces
lanuginosus",-,"more than 90% of
maximum activity",742766
5.8 - 6.2,Alternaria mali,-,-,695683
6 - 10,"Marinimicrobium sp. LS-
A18",A0A411LPM1,"the enzyme exhibits a
broad pH optimum
from 6.0 to 10.0, and
the enzyme activity
sharply decreases to
41.4% and 6.9% at pH
5.0 and 11.0,
respectively",768777
6 - 11,Aspergillus terreus,-,"pH 6.0: 70% of
maximal activity, pH
11.0: 58.3% of maximal
activity",750795
6 - 12,Kocuria sp. Mn22,B8XY24,activity range,709503
6 - 8,"[Caldibacillus]
cellulovorans",Q9L8L8,"40% activity at pH 8.0,
no activity at pH 4.0
and pH 9.0",656718
6 - 9,Thermobifida fusca,Q47QL8,"more than 60% of
maximum activity,
recombinant protein,
both with and without
His-tag",737932
6.5 - 10,Microcella alkaliphila,A0A0U5B5Z4,"more than 80% of
maximum activity",738192
6.5 - 7.5,Paenibacillus sp.,-,"70% of maximal
activity at pH 6.5, 85%",717094
