TEMPERATURE,ORGANISM,UNIPROT,COMMENTARY,LITERATURE
,TEMPERATURERANGE,ORGANISM,UNIPROT,COMMENTARY
50 - 70,Thermothelomycesheterothallicus,-,activity at 50°C isabout 10% comparedto the activity at 70°C,737497
50 - 70,,-,activity at 50°C isabout 25% comparedto the activity at 70°C,737497
50 - 70,Thermothelomycesthermophilus,-,activity at 50°C isabout 5% comparedto the activity at 70°C,737497
50 - 70,Trichoderma reesei,-,activity at 50°C isslightly higher thanactivity at 70°C,737497
50 - 75,Bacillus sp. (in:ﬁrmicutes),-,"50°C: about 50% ofmaximal activity,75°C: about 60% ofmaximal activity",171621
50 - 80,Acidothermuscellulolyticus,A0LR95,"about 60% activity at50°C, about 750%activity at 60°C, 100%activity at 70°C,about 90% activity at80°C, no activity at90°C",750497
50 - 80,Bacillus sp. (in:ﬁrmicutes),-,"50°C: about 30% ofmaximal activity,80°C: about 20% ofmaximal activity,enzyme form strainW4",171621
50 - 85,Thermomyceslanuginosus,-,about 50% ofmaximal activity at50°C and at 85°C,171643
50 - 85,Thermopolysporaﬂexuosa,-,"recombinant His-tagged enzyme,inactive at 90°C",707229
55 - 60,Pseudozyma hubeiensis,-,PhX20,707766
60 - 100,Acidothermuscellulolyticus,-,"activity range, pH-dependent: at 100°Cactivity occurs at pH4.0-6.0, at 60°Cactivity occurs at pH5.0-8.0, overview",717123
60 - 100,Saccharolobussolfataricus,-,-,679721
60 - 65,Pseudozyma hubeiensis,-,PhX33,707766
60 - 80,Bacillus sp. (in:ﬁrmicutes),-,"60°C: about 50% ofmaximal activity,80°C: about 80% ofmaximal activity",171645
60 - 80,Thermobiﬁda fusca,Q47QL8,"more than 60% ofmaximum activity,recombinant protein,both with andwithout His-tag",737932
60 - 90,Thermoclostridiumstercorarium,-,"60°C: about 50% ofmaximal activity,90°C: about 20% ofmaximal activity",171661
65 - 75,Penicillium canescens,C3VEV9,more than 80% ofmaximum activity,729182
65 - 85,Streptomyces ipomoeae,MK331807,"65°C: about 45% ofmaximal activity,85°C: about 50% ofmaximal activity",750086
70,bacterium enrichmentculture clone Xyl8B8,H9ZGD1,65% residual activity,730872
70,Geobacillusstearothermophilus,-,18% of maximumactivity,738190
70 - 100,Thermotoga petrophila,A5IL00,"70°C: about 40% ofmaximal activity,100°C: about 70% ofmaximal activity",748630
70 - 75,Thermomyceslanuginosus,-,-,171643
70 - 85,Thermoascusaurantiacus,-,"70°C: about 70% ofmaximal activity,85°C: about 10% ofmaximal activity",171601
75,Thermomyceslanuginosus,-,assay at,742214
80,Geobacillusstearothermophilus,-,9% of maximumactivity,738190
80,Halalkalibacteriumhalodurans,-,80% of maximumactivity,731022
80,Thermomyceslanuginosus,-,rapid loss of activityabove,742165
80 - 90,Laetiporus sulphureus,-,"activity decreasesrapidly attemperatures over80°C, but still retainsapproximately 70%relative activity at90°C",699053
80 - 95,Saccharolobussolfataricus,Q97YG7,"80°C: about 40% ofmaximal activity,",692258
80 - 95,,,95°C: about 40% ofmaximal activity,
85,Thermomyceslanuginosus,-,more than 50% ofmaximum activity,646829
85,additionalinformation,Carica papaya,Q8GTJ2,rapid decline inactivity above 45°C
85,additionalinformation,Trichoderma reesei,-,temperature-dependence ofactivity of wild-typeand mutant enzymes
