uniprot_accession,organism,organism_type,gh_family,length,molecular_weight,aromaticity,instability_index,gravy,predicted_pI,secondary_structure_fraction_helix,secondary_structure_fraction_turn,secondary_structure_fraction_sheet,optimum_temperature,optimum_pH,aa_A_fraction,aa_C_fraction,aa_D_fraction,aa_E_fraction,aa_F_fraction,aa_G_fraction,aa_H_fraction,aa_I_fraction,aa_K_fraction,aa_L_fraction,aa_M_fraction,aa_N_fraction,aa_P_fraction,aa_Q_fraction,aa_R_fraction,aa_S_fraction,aa_T_fraction,aa_V_fraction,aa_W_fraction,aa_Y_fraction
Q4P0L3,Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis),fungal,GH11,221,23812.628599999996,0.14932126696832582,28.49909502262442,-0.4828054298642534,8.939524650573734,0.21266968325791855,0.38461538461538464,0.33484162895927605,,,10.407239819004525,0.9049773755656109,2.7149321266968327,2.262443438914027,5.882352941176471,9.502262443438914,1.8099547511312217,1.8099547511312217,4.524886877828054,3.167420814479638,0.9049773755656109,8.144796380090497,3.6199095022624435,4.97737556561086,2.262443438914027,14.479638009049774,7.239819004524887,6.334841628959276,1.8099547511312217,7.239819004524887
Q59674,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,661,69192.0882,0.09379727685325265,31.956323751891084,-0.4576399394856278,6.405947685241699,0.1664145234493192,0.44175491679273826,0.3146747352496218,,,6.959152798789712,2.26928895612708,3.3282904689863844,2.118003025718608,2.4205748865355523,14.372163388804841,1.6641452344931922,3.479576399394856,1.361573373676248,4.992435703479576,1.2102874432677762,10.136157337367624,2.571860816944024,5.143721633888048,3.6308623298033282,13.767019667170953,7.413010590015128,6.202723146747353,2.26928895612708,4.689863842662632
V9TS54,Humicola insolens (Soft-rot fungus),fungal,GH11,221,24700.994700000003,0.14479638009049775,34.21769230769231,-0.49819004524886884,8.72768154144287,0.18552036199095023,0.36199095022624433,0.3891402714932127,,,6.787330316742081,0.0,4.524886877828054,3.6199095022624435,2.7149321266968327,12.217194570135746,0.9049773755656109,4.97737556561086,1.8099547511312217,4.97737556561086,1.3574660633484164,7.239819004524887,4.072398190045249,3.167420814479638,7.239819004524887,8.144796380090497,7.239819004524887,7.239819004524887,4.524886877828054,7.239819004524887
V9TXH2,Paenibacillus barcinonensis,bacterial,GH11,210,23145.1996,0.17142857142857143,19.571476190476183,-0.4119047619047619,9.300160789489745,0.14761904761904762,0.38095238095238093,0.4238095238095238,,,5.238095238095238,0.0,2.857142857142857,0.9523809523809523,4.285714285714286,13.333333333333334,0.47619047619047616,2.380952380952381,3.3333333333333335,2.857142857142857,2.380952380952381,9.523809523809524,2.857142857142857,4.285714285714286,2.857142857142857,9.523809523809524,10.476190476190476,9.523809523809524,4.761904761904762,8.095238095238095
B3PIN1,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,661,69192.0882,0.09379727685325265,31.956323751891084,-0.4576399394856278,6.405947685241699,0.1664145234493192,0.44175491679273826,0.3146747352496218,,,6.959152798789712,2.26928895612708,3.3282904689863844,2.118003025718608,2.4205748865355523,14.372163388804841,1.6641452344931922,3.479576399394856,1.361573373676248,4.992435703479576,1.2102874432677762,10.136157337367624,2.571860816944024,5.143721633888048,3.6308623298033282,13.767019667170953,7.413010590015128,6.202723146747353,2.26928895612708,4.689863842662632
J7FK35,Aspergillus oryzae (Yellow koji mold),fungal,GH10,473,50360.8876,0.09513742071881606,34.57061310782239,-0.2357293868921776,4.7242525100708,0.26004228329809725,0.33192389006342493,0.36997885835095135,,,11.416490486257928,1.9027484143763214,5.2854122621564485,4.2283298097251585,2.748414376321353,6.976744186046512,1.4799154334038056,4.439746300211416,4.016913319238901,5.919661733615222,0.42283298097251587,4.651162790697675,4.439746300211416,4.651162790697675,1.6913319238900635,11.839323467230445,10.359408033826638,6.765327695560254,2.536997885835095,4.2283298097251585
P14768,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH10,611,64803.3873,0.09165302782324058,42.701816693944465,-0.2875613747954174,6.082761192321777,0.21767594108019642,0.41080196399345337,0.309328968903437,,,10.801963993453356,1.309328968903437,4.4189852700491,2.454991816693944,3.2733224222585924,8.01963993453355,1.309328968903437,4.4189852700491,1.800327332242226,5.237315875613748,1.4729950900163666,7.855973813420622,4.746317512274959,4.4189852700491,4.4189852700491,16.0392798690671,5.237315875613748,6.873977086743044,2.454991816693944,3.436988543371522
Q1K5S8,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),fungal,GH11,293,30776.052200000002,0.1296928327645051,22.902423208191134,-0.48737201365187716,8.466326713562015,0.14675767918088736,0.40273037542662116,0.3651877133105802,,,6.484641638225256,2.04778156996587,2.04778156996587,2.04778156996587,3.0716723549488054,17.747440273037544,1.023890784982935,2.7303754266211606,1.7064846416382253,3.4129692832764507,1.023890784982935,6.484641638225256,3.7542662116040955,5.460750853242321,3.4129692832764507,10.238907849829351,12.286689419795222,5.1194539249146755,3.4129692832764507,6.484641638225256
Q21G61,Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024),bacterial,GH11,767,80783.6335,0.09256844850065189,27.05868318122554,-0.5413298565840938,4.607050514221191,0.16036505867014342,0.4250325945241199,0.3376792698826597,,,6.388526727509778,1.955671447196871,4.563233376792699,3.1290743155149934,1.955671447196871,13.95045632333768,1.694915254237288,4.432855280312907,0.9126466753585397,4.041720990873533,1.5645371577574967,9.908735332464145,1.8252933507170794,5.215123859191656,2.8683181225554106,12.25554106910039,10.821382007822686,5.215123859191656,2.346805736636245,4.954367666232073
Q8VP72,Cellvibrio japonicus (Pseudomonas fluorescens subsp. cellulosa),bacterial,GH11,357,37911.552800000005,0.11764705882352941,32.80117647058824,-0.4840336134453782,8.669659996032717,0.14565826330532214,0.42857142857142855,0.3557422969187675,,,5.882352941176471,1.4005602240896358,3.361344537815126,1.680672268907563,2.5210084033613445,14.005602240896359,0.8403361344537815,4.761904761904762,2.2408963585434174,3.9215686274509802,0.8403361344537815,8.96358543417367,1.4005602240896358,4.761904761904762,3.9215686274509802,15.126050420168067,9.243697478991596,5.882352941176471,2.5210084033613445,6.722689075630252
