organism_type,count,mean,median,std,min,max,metric,group_col,gh_family
,72,0.6485894660894661,0.6868831168831169,0.1595470542947908,0.3337662337662339,0.9457142857142858,vina_xylobiose_score_norm_dock,gh_family,GH11
bacterial,80,0.6149142128448875,0.6287966612566659,0.19722341438345017,0.0,1.0,vina_xylotriose_score_norm_dock,organism_type,
fungal,65,0.6373076031318554,0.6466496638070948,0.1798903197378569,0.1583584511940644,0.9406445629492232,vina_xylotriose_score_norm_dock,organism_type,
,73,0.5979850658569663,0.5719916531416647,0.20187263563243882,0.0,1.0,vina_xylotriose_score_norm_dock,gh_family,GH10
,72,0.6522947419944869,0.6751680964525852,0.17283167923733384,0.2260607465801065,0.9406445629492232,vina_xylotriose_score_norm_dock,gh_family,GH11
bacterial,80,0.6138613272016645,0.6220853445186856,0.16694865536188802,0.0,0.9240774643858344,docking_score_mean_norm_dock,organism_type,
fungal,65,0.6432332221453483,0.6452046817082755,0.14895092976587979,0.3072311736489802,0.9271812791891624,docking_score_mean_norm_dock,organism_type,
,73,0.6039347140350478,0.578229002622696,0.16549902378565473,0.0,0.9240774643858344,docking_score_mean_norm_dock,gh_family,GH10
,72,0.6504421040419764,0.6760220234205859,0.15022357670654876,0.2812121914718715,0.9271812791891624,docking_score_mean_norm_dock,gh_family,GH11
bacterial,80,75.1,76.5,40.0593230982328,2.0,145.0,rank_docking_dock,organism_type,
fungal,65,70.41538461538461,67.0,44.45464412876775,1.0,142.0,rank_docking_dock,organism_type,
,73,78.32876712328768,86.0,39.497909506749195,2.0,145.0,rank_docking_dock,gh_family,GH10
,72,67.59722222222223,61.5,44.013333358222646,1.0,143.0,rank_docking_dock,gh_family,GH11
bacterial,18,6.227777777777778,6.0,0.7489644266707871,5.0,7.8,optimum_pH_y,organism_type,
fungal,5,5.5600000000000005,5.0,1.6410362579784763,3.5,7.8,optimum_pH_y,organism_type,
,12,6.083333333333333,6.0,1.18615753463429,3.5,7.8,optimum_pH_y,gh_family,GH10
,11,6.081818181818182,6.0,0.8109478180723857,5.0,7.8,optimum_pH_y,gh_family,GH11
