metric_x,metric_y,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r
optimum_pH_x,vina_xylotriose_score_norm_dock,20,0.3508530737959566,0.12933632627239577,0.49102350845899106,0.027916518412850568,0.3508530737959566
vina_xylotriose_score,optimum_pH_y,20,-0.35085307379595654,0.1293363262723958,-0.4910235084589912,0.027916518412850568,0.35085307379595654
vina_xylotriose_score_norm,optimum_pH_y,20,0.35085307379595654,0.1293363262723958,0.49102350845899106,0.027916518412850568,0.35085307379595654
vina_xylotriose_score_dock,optimum_pH_y,20,-0.35085307379595654,0.1293363262723958,-0.4910235084589912,0.027916518412850568,0.35085307379595654
vina_xylotriose_score_norm_dock,optimum_pH_y,20,0.35085307379595654,0.1293363262723958,0.49102350845899106,0.027916518412850568,0.35085307379595654
aromaticity,duet_mean_ddg,20,-0.34736842105263155,0.13344922901624712,-0.36220047431326857,0.11656726162355284,0.34736842105263155
aromaticity,duet_mean_ddg_mut,20,-0.34736842105263155,0.13344922901624712,-0.36220047431326857,0.11656726162355284,0.34736842105263155
gravy,secondary_structure_fraction_helix,155,0.34699387296435386,9.720694721085362e-06,0.3852516365942169,7.423561427217851e-07,0.34699387296435386
dbd2_score,xylanase_candidate_label,20,-0.34684398780964804,0.13407612120334206,-0.30506547340395523,0.19091131205593828,0.34684398780964804
score_dbd2,xylanase_candidate_label,20,0.34684398780964804,0.13407612120334206,0.30506547340395523,0.19091131205593828,0.34684398780964804
xylanase_candidate_label,dbd2_score_mut,20,-0.346843987809648,0.13407612120334206,-0.30506547340395523,0.19091131205593828,0.346843987809648
secondary_structure_fraction_sheet,dbd2_score,20,-0.34586466165413526,0.13525234313351658,-0.3480116320574523,0.13268318558152983,0.34586466165413526
secondary_structure_fraction_sheet,score_dbd2,20,0.34586466165413526,0.13525234313351658,0.34801163205745217,0.13268318558152983,0.34586466165413526
secondary_structure_fraction_sheet,dbd2_score_mut,20,-0.34586466165413526,0.13525234313351658,-0.3480116320574523,0.13268318558152983,0.34586466165413526
duet_n_stabilizing,score_structure,20,0.34578422249453483,0.13534927729625526,0.2875418493735495,0.2189618776707186,0.34578422249453483
score_structure,duet_n_stabilizing_mut,20,0.34578422249453483,0.13534927729625526,0.2875418493735495,0.2189618776707186,0.34578422249453483
duet_n_stabilizing,vina_xylobiose_score_dock,20,0.34099275520823646,0.14121205665534545,0.3537477415239102,0.1259888045546701,0.34099275520823646
duet_n_stabilizing,vina_xylobiose_score_norm_dock,20,-0.34099275520823646,0.14121205665534545,-0.35374774152391014,0.1259888045546701,0.34099275520823646
duet_n_stabilizing_mut,vina_xylobiose_score_dock,20,0.34099275520823646,0.14121205665534545,0.3537477415239102,0.1259888045546701,0.34099275520823646
duet_n_stabilizing_mut,vina_xylobiose_score_norm_dock,20,-0.34099275520823646,0.14121205665534545,-0.35374774152391014,0.1259888045546701,0.34099275520823646
vina_xylobiose_score,duet_n_stabilizing,20,0.3409927552082364,0.14121205665534556,0.3537477415239102,0.1259888045546701,0.3409927552082364
vina_xylobiose_score,duet_n_stabilizing_mut,20,0.3409927552082364,0.14121205665534556,0.3537477415239102,0.1259888045546701,0.3409927552082364
vina_xylobiose_score_norm,duet_n_stabilizing,20,-0.3409927552082364,0.14121205665534556,-0.35374774152391014,0.1259888045546701,0.3409927552082364
vina_xylobiose_score_norm,duet_n_stabilizing_mut,20,-0.3409927552082364,0.14121205665534556,-0.35374774152391014,0.1259888045546701,0.3409927552082364
length,dbd2_score,20,-0.3392252966484153,0.14341902544407428,-0.3829939025995978,0.09555983942731605,0.3392252966484153
length,score_dbd2,20,0.3392252966484153,0.14341902544407428,0.38299390259959765,0.09555983942731626,0.3392252966484153
length,dbd2_score_mut,20,-0.3392252966484153,0.14341902544407428,-0.3829939025995978,0.09555983942731605,0.3392252966484153
molecular_weight,secondary_structure_fraction_turn,155,-0.3387153949937336,1.625418374065375e-05,-0.19088851868425932,0.017349018152269708,0.3387153949937336
secondary_structure_fraction_helix,xylanase_candidate_label,155,-0.33561011139363417,1.963755276477406e-05,-0.34013395675066316,1.4898971787720022e-05,0.33561011139363417
hbond_proxy,optimum_pH_x,20,0.32968552969739545,0.1557488736771026,0.3509317061712277,0.1292445672914633,0.32968552969739545
hbond_proxy,optimum_pH_y,20,0.32968552969739545,0.1557488736771026,0.3509317061712277,0.1292445672914633,0.32968552969739545
score_hbond_proxy,optimum_pH_y,20,0.32968552969739545,0.1557488736771026,0.3509317061712278,0.1292445672914633,0.32968552969739545
optimum_pH_x,score_hbond_proxy,20,0.3296855296973954,0.15574887367710274,0.3509317061712278,0.1292445672914633,0.3296855296973954
hbond_proxy,duet_n_stabilizing,20,0.3290140869924904,0.15664349499528799,0.28101751576295564,0.2300615576120687,0.3290140869924904
hbond_proxy,duet_n_stabilizing_mut,20,0.3290140869924904,0.15664349499528799,0.28101751576295564,0.2300615576120687,0.3290140869924904
duet_n_stabilizing,score_hbond_proxy,20,0.3290140869924904,0.15664349499528799,0.28101751576295564,0.2300615576120687,0.3290140869924904
score_hbond_proxy,duet_n_stabilizing_mut,20,0.3290140869924904,0.15664349499528799,0.28101751576295564,0.2300615576120687,0.3290140869924904
secondary_structure_fraction_sheet,optimum_pH_x,23,-0.3234079949321571,0.13224499582496785,-0.3117308600851887,0.1476148197997539,0.3234079949321571
secondary_structure_fraction_sheet,optimum_pH_y,23,-0.3234079949321571,0.13224499582496785,-0.3117308600851887,0.1476148197997539,0.3234079949321571
secondary_structure_fraction_turn,score_opt_temp,11,0.32167700582527475,0.3347211585620315,0.23869200102587498,0.4796673269785872,0.32167700582527475
instability_index,thermoprot_probability,155,-0.31570212378567913,6.295057807657898e-05,-0.2566838316535141,0.0012640788874120974,0.31570212378567913
instability_index,score_thermoprot,155,-0.31570212378567913,6.295057807657898e-05,-0.2566838316535141,0.0012640788874120974,0.31570212378567913
thermoprot_probability,score_instability,155,0.31570212378567913,6.295057807657898e-05,0.256683831653514,0.0012640788874120974,0.31570212378567913
score_thermoprot,score_instability,155,0.31570212378567913,6.295057807657898e-05,0.256683831653514,0.0012640788874120974,0.31570212378567913
aromaticity,composite_score,155,0.31483336015278574,6.611214514039671e-05,0.2876588851034093,0.0002841316479553753,0.31483336015278574
aromaticity,composite_rank,155,-0.31483336015278574,6.611214514039671e-05,-0.32184226726857007,4.4331315997453945e-05,0.31483336015278574
salt_bridge_proxy,composite_score,145,-0.3139167660528878,0.00012055249782859545,-0.07283123423798694,0.38398868417975524,0.3139167660528878
salt_bridge_proxy,composite_rank,145,0.3139167660528878,0.00012055249782859545,0.06767979948777852,0.418603132187177,0.3139167660528878
score_salt_bridge_proxy,composite_score,145,-0.3139167660528878,0.00012055249782859545,-0.07283123423798696,0.38398868417975524,0.3139167660528878
score_salt_bridge_proxy,composite_rank,145,0.3139167660528878,0.00012055249782859545,0.06767979948777851,0.418603132187177,0.3139167660528878
secondary_structure_fraction_sheet,xylanase_candidate_label,155,0.31384757297076893,6.987955240094744e-05,0.3549121243330485,5.863450979402087e-06,0.31384757297076893
molecular_weight,instability_index,155,0.3123312657556803,7.606903730673468e-05,0.06535277257773067,0.4191403379157744,0.3123312657556803
molecular_weight,score_instability,155,-0.3123312657556803,7.606903730673468e-05,-0.0653527725777307,0.4191403379157744,0.3123312657556803
secondary_structure_fraction_helix,score_structure,155,0.31179262918956374,7.838863423361247e-05,0.0925209003206357,0.2522051192219979,0.31179262918956374
salt_bridge_proxy,optimum_pH_x,20,0.30914861900450696,0.1847402025857292,0.33280287688047716,0.15164175439013117,0.30914861900450696
salt_bridge_proxy,optimum_pH_y,20,0.30914861900450696,0.1847402025857292,0.33280287688047716,0.15164175439013117,0.30914861900450696
optimum_pH_x,score_salt_bridge_proxy,20,0.30914861900450696,0.1847402025857292,0.33280287688047705,0.15164175439013117,0.30914861900450696
